time = 38718153, x = 762, y = 580, flags = 0, message = 512
time = 38718168, x = 762, y = 580, flags = 0, message = 512
time = 38718184, x = 763, y = 580, flags = 0, message = 512
time = 38718246, x = 764, y = 580, flags = 0, message = 512
time = 38718246, x = 764, y = 580, flags = 0, message = 513
time = 38718340, x = 764, y = 580, flags = 0, message = 514
time = 38718496, x = 765, y = 580, flags = 0, message = 512
time = 38718496, x = 766, y = 579, flags = 0, message = 512
time = 38718512, x = 768, y = 579, flags = 0, message = 512
time = 38718512, x = 771, y = 579, flags = 0, message = 512
time = 38718527, x = 775, y = 577, flags = 0, message = 512
time = 38718543, x = 782, y = 575, flags = 0, message = 512
time = 38718543, x = 789, y = 573, flags = 0, message = 512
time = 38718558, x = 795, y = 571, flags = 0, message = 512
time = 38718558, x = 808, y = 567, flags = 0, message = 512
time = 38718574, x = 819, y = 563, flags = 0, message = 512
time = 38718574, x = 830, y = 559, flags = 0, message = 512
time = 38718590, x = 850, y = 553, flags = 0, message = 512
time = 38718590, x = 864, y = 550, flags = 0, message = 512
time = 38718605, x = 879, y = 547, flags = 0, message = 512
time = 38718605, x = 908, y = 544, flags = 0, message = 512
time = 38718621, x = 923, y = 544, flags = 0, message = 512
time = 38718621, x = 938, y = 544, flags = 0, message = 512
time = 38718636, x = 957, y = 544, flags = 0, message = 512
time = 38718636, x = 968, y = 544, flags = 0, message = 512
time = 38718652, x = 977, y = 545, flags = 0, message = 512
time = 38718652, x = 990, y = 549, flags = 0, message = 512
time = 38718668, x = 1000, y = 552, flags = 0, message = 512
time = 38718668, x = 1007, y = 556, flags = 0, message = 512
time = 38718683, x = 1018, y = 562, flags = 0, message = 512
time = 38718683, x = 1027, y = 568, flags = 0, message = 512
time = 38718699, x = 1037, y = 574, flags = 0, message = 512
time = 38718699, x = 1051, y = 584, flags = 0, message = 512
time = 38718714, x = 1061, y = 590, flags = 0, message = 512
time = 38718714, x = 1070, y = 594, flags = 0, message = 512
time = 38718730, x = 1085, y = 602, flags = 0, message = 512
time = 38718730, x = 1093, y = 605, flags = 0, message = 512
time = 38718746, x = 1101, y = 607, flags = 0, message = 512
time = 38718746, x = 1109, y = 608, flags = 0, message = 512
time = 38718761, x = 1120, y = 608, flags = 0, message = 512
time = 38718761, x = 1125, y = 608, flags = 0, message = 512
time = 38718777, x = 1135, y = 607, flags = 0, message = 512
time = 38718777, x = 1140, y = 604, flags = 0, message = 512
time = 38718792, x = 1146, y = 601, flags = 0, message = 512
time = 38718792, x = 1152, y = 595, flags = 0, message = 512
time = 38718808, x = 1155, y = 591, flags = 0, message = 512
time = 38718808, x = 1158, y = 585, flags = 0, message = 512
time = 38718824, x = 1160, y = 575, flags = 0, message = 512
time = 38718824, x = 1161, y = 567, flags = 0, message = 512
time = 38718839, x = 1161, y = 559, flags = 0, message = 512
time = 38718855, x = 1161, y = 550, flags = 0, message = 512
time = 38718855, x = 1161, y = 541, flags = 0, message = 512
time = 38718870, x = 1161, y = 537, flags = 0, message = 512
time = 38718870, x = 1161, y = 534, flags = 0, message = 512
time = 38718886, x = 1161, y = 532, flags = 0, message = 512
time = 38718917, x = 1161, y = 532, flags = 0, message = 512
time = 38718933, x = 1161, y = 532, flags = 0, message = 512
time = 38718933, x = 1160, y = 532, flags = 0, message = 512
time = 38718948, x = 1158, y = 532, flags = 0, message = 512
time = 38718948, x = 1155, y = 532, flags = 0, message = 512
time = 38718964, x = 1153, y = 532, flags = 0, message = 512
time = 38718964, x = 1152, y = 532, flags = 0, message = 512
time = 38718980, x = 1150, y = 532, flags = 0, message = 512
time = 38718980, x = 1149, y = 532, flags = 0, message = 512
time = 38718995, x = 1148, y = 532, flags = 0, message = 512
time = 38719042, x = 1148, y = 532, flags = 0, message = 513
time = 38719167, x = 1148, y = 532, flags = 0, message = 514
time = 38719229, x = 1148, y = 532, flags = 0, message = 512
time = 38719385, x = 1147, y = 532, flags = 0, message = 512
time = 38719385, x = 1146, y = 532, flags = 0, message = 512
time = 38719401, x = 1144, y = 533, flags = 0, message = 512
time = 38719401, x = 1141, y = 535, flags = 0, message = 512
time = 38719416, x = 1139, y = 537, flags = 0, message = 512
time = 38719416, x = 1132, y = 540, flags = 0, message = 512
time = 38719432, x = 1128, y = 542, flags = 0, message = 512
time = 38719432, x = 1122, y = 545, flags = 0, message = 512
time = 38719448, x = 1112, y = 547, flags = 0, message = 512
time = 38719448, x = 1104, y = 549, flags = 0, message = 512
time = 38719463, x = 1096, y = 550, flags = 0, message = 512
time = 38719479, x = 1088, y = 553, flags = 0, message = 512
time = 38719479, x = 1076, y = 554, flags = 0, message = 512
time = 38719494, x = 1067, y = 555, flags = 0, message = 512
time = 38719494, x = 1058, y = 555, flags = 0, message = 512
time = 38719510, x = 1043, y = 555, flags = 0, message = 512
time = 38719510, x = 1033, y = 555, flags = 0, message = 512
time = 38719526, x = 1024, y = 555, flags = 0, message = 512
time = 38719526, x = 1008, y = 550, flags = 0, message = 512
time = 38719541, x = 995, y = 545, flags = 0, message = 512
time = 38719541, x = 984, y = 539, flags = 0, message = 512
time = 38719557, x = 962, y = 528, flags = 0, message = 512
time = 38719557, x = 948, y = 518, flags = 0, message = 512
time = 38719572, x = 937, y = 510, flags = 0, message = 512
time = 38719572, x = 921, y = 498, flags = 0, message = 512
time = 38719588, x = 912, y = 489, flags = 0, message = 512
time = 38719588, x = 904, y = 481, flags = 0, message = 512
time = 38719604, x = 895, y = 471, flags = 0, message = 512
time = 38719604, x = 890, y = 463, flags = 0, message = 512
time = 38719619, x = 885, y = 455, flags = 0, message = 512
time = 38719619, x = 881, y = 442, flags = 0, message = 512
time = 38719635, x = 877, y = 433, flags = 0, message = 512
time = 38719635, x = 875, y = 424, flags = 0, message = 512
time = 38719650, x = 870, y = 409, flags = 0, message = 512
time = 38719650, x = 868, y = 400, flags = 0, message = 512
time = 38719666, x = 864, y = 391, flags = 0, message = 512
time = 38719666, x = 857, y = 380, flags = 0, message = 512
time = 38719682, x = 852, y = 373, flags = 0, message = 512
time = 38719682, x = 844, y = 367, flags = 0, message = 512
time = 38719697, x = 833, y = 360, flags = 0, message = 512
time = 38719697, x = 824, y = 355, flags = 0, message = 512
time = 38719713, x = 816, y = 352, flags = 0, message = 512
time = 38719713, x = 802, y = 349, flags = 0, message = 512
time = 38719728, x = 792, y = 348, flags = 0, message = 512
time = 38719728, x = 781, y = 347, flags = 0, message = 512
time = 38719744, x = 766, y = 345, flags = 0, message = 512
time = 38719744, x = 755, y = 345, flags = 0, message = 512
time = 38719760, x = 744, y = 345, flags = 0, message = 512
time = 38719760, x = 728, y = 345, flags = 0, message = 512
time = 38719775, x = 717, y = 345, flags = 0, message = 512
time = 38719791, x = 707, y = 346, flags = 0, message = 512
time = 38719791, x = 693, y = 350, flags = 0, message = 512
time = 38719806, x = 684, y = 354, flags = 0, message = 512
time = 38719806, x = 677, y = 358, flags = 0, message = 512
time = 38719822, x = 666, y = 363, flags = 0, message = 512
time = 38719822, x = 658, y = 369, flags = 0, message = 512
time = 38719838, x = 651, y = 373, flags = 0, message = 512
time = 38719838, x = 644, y = 381, flags = 0, message = 512
time = 38719853, x = 640, y = 386, flags = 0, message = 512
time = 38719853, x = 638, y = 393, flags = 0, message = 512
time = 38719869, x = 637, y = 402, flags = 0, message = 512
time = 38719869, x = 637, y = 409, flags = 0, message = 512
time = 38719884, x = 637, y = 418, flags = 0, message = 512
time = 38719884, x = 638, y = 429, flags = 0, message = 512
time = 38719900, x = 639, y = 436, flags = 0, message = 512
time = 38719900, x = 641, y = 443, flags = 0, message = 512
time = 38719916, x = 642, y = 453, flags = 0, message = 512
time = 38719916, x = 644, y = 458, flags = 0, message = 512
time = 38719931, x = 645, y = 464, flags = 0, message = 512
time = 38719931, x = 645, y = 474, flags = 0, message = 512
time = 38719947, x = 645, y = 479, flags = 0, message = 512
time = 38719947, x = 645, y = 485, flags = 0, message = 512
time = 38719962, x = 644, y = 493, flags = 0, message = 512
time = 38719962, x = 642, y = 499, flags = 0, message = 512
